ranges_rent_id,lettype,la,beds,soft_min,soft_max,hard_min,hard_max
1,1,E07000223,1,57.21,123.09,25.84,176.15
327,1,E07000223,2,71.06,146.43,25.84,186.77
653,1,E07000223,3,81.2,161.3,25.84,203.75
979,1,E07000223,4,89.52,178.28,25.84,221.77
1305,3,E07000223,1,51.68,115.66,25.84,159.17
1631,3,E07000223,2,62.75,129.46,25.84,145.37
1957,3,E07000223,3,68.28,149.62,25.84,185.7
2283,3,E07000223,4,72.9,184.64,25.84,194.19
2609,2,E07000223,0,62.17,268.13,18.64,344.4
2935,4,E07000223,0,48.71,195.45,18.64,204.96
3261,6,E07000223,0,62.17,492.18,18.64,536.27
3587,8,E07000223,0,48.71,492.18,18.64,536.27
3983,5,E07000223,1,57.21,130.52,25.84,143.25
4050,7,E07000223,1,51.68,130.52,25.84,143.25
4598,5,E07000223,2,71.06,181.46,25.84,198.45
4745,7,E07000223,2,62.75,181.46,25.84,198.45
5250,5,E07000223,3,81.2,226.01,25.84,246.18
5350,7,E07000223,3,68.28,226.01,25.84,246.18
5935,5,E07000223,4,89.52,426.59,25.84,465.84
6039,7,E07000223,4,72.9,426.59,25.84,465.84
6521,9,E07000223,1,57.21,163.15,25.84,179.06
6847,9,E07000223,2,71.06,226.84,25.84,248.03
7173,9,E07000223,3,81.2,282.54,25.84,307.73
7499,9,E07000223,4,89.52,533.22,25.84,582.31
7825,10,E07000223,0,62.17,615.22,18.64,670.34
3,1,E07000032,1,51.68,99.75,25.84,122.03
329,1,E07000032,2,61.83,114.6,25.84,129.46
655,1,E07000032,3,68.28,126.28,25.84,137.95
981,1,E07000032,4,75.67,158.1,25.84,166.61
1307,3,E07000032,1,46.13,90.21,25.84,107.19
1633,3,E07000032,2,52.6,96.56,25.84,108.24
1959,3,E07000032,3,58.13,104,25.84,118.85
2285,3,E07000032,4,63.67,122.03,25.84,122.03
2611,2,E07000032,0,51.82,240.72,18.64,361.1
2937,4,E07000032,0,49.74,114.39,18.64,123.94
3263,6,E07000032,0,51.82,209.73,18.64,228.81
3589,8,E07000032,0,49.74,209.73,18.64,228.81
4311,5,E07000032,1,51.68,96.56,25.84,105.06
4411,7,E07000032,1,46.13,96.56,25.84,105.06
5007,5,E07000032,2,61.83,113.53,25.84,123.09
5147,7,E07000032,2,52.6,113.53,25.84,123.09
